山西电信组播,#genre#
CCTV-5体育,http://60.223.72.127:8001/rtp/226.0.1.135:2020
CCTV-5体育,http://118.79.12.62:6001/rtp/226.0.2.209:9584
CCTV-5体育,http://60.223.72.135:8003/rtp/226.0.1.135:2020
CCTV-5体育,http://61.134.253.35:8001/rtp/226.0.1.135:2020
CCTV-5体育,http://183.185.71.109:8082/rtp/226.0.1.135:2020
CCTV-5体育,http://118.79.12.70:6000/rtp/226.0.1.135:2020
CCTV-5体育,http://118.79.12.65:6001/rtp/226.0.2.209:9584
CCTV-5体育,http://118.79.12.62:6000/rtp/226.0.1.135:2020
CCTV-5体育,http://118.79.12.65:6000/rtp/226.0.1.135:2020
CCTV-5体育,http://61.134.253.35:8003/rtp/226.0.1.135:2020
CCTV-5体育,http://118.79.12.70:6001/rtp/226.0.1.135:2020
CCTV-5体育,http://60.223.72.25:8003/rtp/226.0.1.135:2020
CCTV-5体育,http://118.79.12.62:6001/rtp/226.0.1.135:2020
CCTV-5体育,http://116.179.149.157:6001/rtp/226.0.2.209:9584
CCTV-5体育,http://60.223.72.25:8001/rtp/226.0.1.135:2020
CCTV-5体育,http://171.116.216.113:10010/rtp/226.0.1.135:2020
CCTV-5体育,http://171.118.222.23:8082/rtp/226.0.1.135:2020
CCTV-5体育,http://116.179.149.157:6000/rtp/226.0.2.209:9584
CCTV-5⁺体育赛事,http://118.79.12.65:6001/rtp/226.0.1.172:3096
CCTV-5⁺体育赛事,http://171.116.216.113:10010/rtp/226.0.1.172:3096
CCTV-5⁺体育赛事,http://118.79.12.70:6001/rtp/226.0.1.172:3096
CCTV-5⁺体育赛事,http://60.223.72.127:8001/rtp/226.0.1.172:3096
CCTV-5⁺体育赛事,http://61.134.253.35:8001/rtp/226.0.1.172:3096
CCTV-5⁺体育赛事,http://118.79.12.70:6001/rtp/226.0.2.168:9256
CCTV-5⁺体育赛事,http://61.134.253.35:8003/rtp/226.0.1.172:3096
CCTV-5⁺体育赛事,http://118.79.12.70:6000/rtp/226.0.1.172:3096
CCTV-5⁺体育赛事,http://118.79.12.65:6000/rtp/226.0.1.172:3096
CCTV-5⁺体育赛事,http://118.79.12.62:6001/rtp/226.0.1.172:3096
CCTV-5⁺体育赛事,http://171.118.222.23:8082/rtp/226.0.1.172:3096
CCTV-5⁺体育赛事,http://118.79.12.62:6001/rtp/226.0.2.168:9256
CCTV-5⁺体育赛事,http://116.179.149.157:6001/rtp/226.0.2.168:9256
CCTV-5⁺体育赛事,http://118.79.12.62:6000/rtp/226.0.1.172:3096
CCTV-5⁺体育赛事,http://118.79.12.70:6000/rtp/226.0.2.168:9256
CCTV-5⁺体育赛事,http://60.223.72.25:8003/rtp/226.0.1.172:3096
CCTV-5⁺体育赛事,http://118.79.12.62:6000/rtp/226.0.2.168:9256
CCTV-5⁺体育赛事,http://116.179.149.157:6000/rtp/226.0.2.168:9256
CCTV-5⁺体育赛事,http://183.185.71.109:8082/rtp/226.0.1.172:3096
CCTV-5⁺体育赛事,http://118.79.12.65:6000/rtp/226.0.2.168:9256
CCTV-5⁺体育赛事,http://60.223.72.25:8001/rtp/226.0.1.172:3096
CCTV-6电影,http://60.223.72.127:8001/rtp/226.0.1.137:2021
CCTV-6电影,http://118.79.12.70:6000/rtp/226.0.1.137:2021
CCTV-6电影,http://171.118.222.23:8082/rtp/226.0.1.137:2021
CCTV-6电影,http://118.79.12.62:6001/rtp/226.0.2.210:9592
CCTV-6电影,http://118.79.12.65:6001/rtp/226.0.2.210:9592
CCTV-6电影,http://183.185.71.109:8082/rtp/226.0.1.137:2021
CCTV-6电影,http://171.116.216.113:10010/rtp/226.0.1.137:2021
CCTV-6电影,http://118.79.12.62:6001/rtp/226.0.1.137:2021
CCTV-6电影,http://116.179.149.157:6000/rtp/226.0.1.137:2021
CCTV-6电影,http://118.79.12.65:6000/rtp/226.0.1.137:2021
CCTV-6电影,http://118.79.12.70:6000/rtp/226.0.2.210:9592
CCTV-6电影,http://118.79.12.65:6001/rtp/226.0.1.137:2021
CCTV-6电影,http://116.179.149.157:6001/rtp/226.0.2.210:9592
CCTV-6电影,http://60.223.72.25:8001/rtp/226.0.1.137:2021
CCTV-6电影,http://61.134.253.35:8003/rtp/226.0.1.137:2021
CCTV-6电影,http://118.79.12.70:6001/rtp/226.0.1.137:2021
CCTV-6电影,http://118.79.12.65:6000/rtp/226.0.2.210:9592
CCTV-6电影,http://118.79.12.70:6001/rtp/226.0.2.210:9592
CCTV-6电影,http://61.134.253.35:8001/rtp/226.0.1.137:2021
CCTV-7国防军事,http://118.79.12.62:6001/rtp/226.0.2.159:9184
CCTV-7国防军事,http://118.79.12.70:6000/rtp/226.0.1.163:3097
CCTV-7国防军事,http://116.179.149.157:6001/rtp/226.0.2.159:9184
CCTV-7国防军事,http://61.134.253.35:8001/rtp/226.0.1.163:3097
CCTV-7国防军事,http://118.79.12.70:6000/rtp/226.0.2.159:9184
CCTV-7国防军事,http://171.118.222.23:8082/rtp/226.0.1.163:3097
CCTV-7国防军事,http://60.223.72.135:8003/rtp/226.0.1.163:3097
CCTV-7国防军事,http://171.116.216.113:10010/rtp/226.0.1.163:3097
CCTV-7国防军事,http://118.79.12.62:6000/rtp/226.0.1.163:3097
CCTV-7国防军事,http://118.79.12.65:6001/rtp/226.0.2.159:9184
CCTV-7国防军事,http://183.185.71.109:8082/rtp/226.0.1.163:3097
CCTV-7国防军事,http://118.79.12.65:6000/rtp/226.0.2.159:9184
CCTV-7国防军事,http://61.134.253.35:8003/rtp/226.0.1.163:3097
CCTV-7国防军事,http://60.223.72.127:8001/rtp/226.0.1.163:3097
CCTV-7国防军事,http://116.179.149.157:6000/rtp/226.0.2.159:9184
CCTV-7国防军事,http://118.79.12.65:6000/rtp/226.0.1.163:3097
CCTV-7国防军事,http://118.79.12.70:6001/rtp/226.0.1.163:3097
CCTV-7国防军事,http://118.79.12.62:6001/rtp/226.0.1.163:3097
CCTV-7国防军事,http://60.223.72.25:8001/rtp/226.0.1.163:3097
CCTV-8电视剧,http://171.118.222.23:8082/rtp/226.0.1.140:2023
CCTV-8电视剧,http://61.134.253.35:8003/rtp/226.0.1.140:2023
CCTV-8电视剧,http://118.79.12.62:6000/rtp/226.0.1.140:2023
CCTV-8电视剧,http://118.79.12.70:6001/rtp/226.0.1.140:2023
CCTV-8电视剧,http://118.79.12.70:6001/rtp/226.0.2.211:9600
CCTV-8电视剧,http://118.79.12.65:6000/rtp/226.0.2.211:9600
